package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.debanshu.xcalendar.CalendarApp,CalendarApp,1,1,1,0,0,0,0,0,1,5,
com.debanshu.xcalendar.CalendarApp,CalendarApp,1,1,1,0,0,0,0,0,1,9,
com.debanshu.xcalendar.ui.components.BaseCalendarScreen,BaseCalendarScreen,1,1,1,0,0,0,0,0,1,4,
com.debanshu.xcalendar.ui.components.rememberNavBarState,rememberNavBarState,1,0,0,0,0,0,0,0,1,0,
com.debanshu.xcalendar.ui.components.rememberGlassEffect,rememberGlassEffect,1,0,0,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.CalendarBottomNavigationBar,CalendarBottomNavigationBar,1,1,1,0,0,0,0,0,1,6,
com.debanshu.xcalendar.ui.components.BottomNavItem,BottomNavItem,1,1,1,0,0,0,0,0,4,3,
com.debanshu.xcalendar.ui.components.CalendarEventsGrid,CalendarEventsGrid,1,1,1,0,0,0,0,0,1,3,
com.debanshu.xcalendar.ui.components.DayColumn,DayColumn,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.EventItem,EventItem,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.CalendarTopAppBar,CalendarTopAppBar,1,1,1,0,0,0,0,0,1,4,
com.debanshu.xcalendar.ui.components.TopBarMonthView,TopBarMonthView,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.TopAppBarWeekdayHeader,TopAppBarWeekdayHeader,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.TopAppBarDayCell,TopAppBarDayCell,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.TopAppBarEmptyPagingDayCell,TopAppBarEmptyPagingDayCell,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.DaysHeaderRow,DaysHeaderRow,1,1,1,0,0,0,0,0,1,2,
com.debanshu.xcalendar.ui.components.ErrorSnackbar,ErrorSnackbar,1,1,1,0,0,0,0,0,1,2,
com.debanshu.xcalendar.ui.components.EventTag,EventTag,1,1,1,0,0,0,0,0,1,2,
com.debanshu.xcalendar.ui.components.SwipeableCalendarView,SwipeableCalendarView,1,1,1,0,0,0,1,0,2,2,
com.debanshu.xcalendar.ui.components.CalendarContent,CalendarContent,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.SwipeablePager,SwipeablePager,1,1,1,0,0,0,0,0,1,5,
com.debanshu.xcalendar.ui.components.TimeColumn,TimeColumn,1,1,1,0,0,0,1,0,2,1,
com.debanshu.xcalendar.ui.components.TimeCell,TimeCell,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.core.DayNumber,DayNumber,1,1,1,0,0,0,0,0,4,4,
com.debanshu.xcalendar.ui.components.core.DayNumberLarge,DayNumberLarge,1,1,1,0,0,0,0,0,3,3,
com.debanshu.xcalendar.ui.components.core.HolidayTag,HolidayTag,1,1,1,0,0,0,0,0,3,3,
com.debanshu.xcalendar.ui.components.core.ScheduleHolidayTag,ScheduleHolidayTag,1,1,1,0,0,0,0,0,1,2,
com.debanshu.xcalendar.ui.components.dialog.AddEventDialog,AddEventDialog,1,1,1,0,0,0,0,0,1,3,
com.debanshu.xcalendar.ui.components.dialog.DialogHeader,DialogHeader,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.dialog.TitleTextField,TitleTextField,1,1,1,0,0,0,0,0,1,3,
com.debanshu.xcalendar.ui.components.dialog.CalendarSelectionSection,CalendarSelectionSection,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.dialog.CalendarList,CalendarList,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.dialog.EventOptionRow,EventOptionRow,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.dialog.SwitchRow,SwitchRow,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.dialog.CalendarColorDot,CalendarColorDot,1,1,1,0,0,0,0,0,3,2,
com.debanshu.xcalendar.ui.components.dialog.TimeDisplay,TimeDisplay,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.dialog.EventDetailsDialog,EventDetailsDialog,1,1,1,0,0,0,0,0,1,3,
com.debanshu.xcalendar.ui.components.dialog.DetailsHeader,DetailsHeader,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.dialog.EventTitleRow,EventTitleRow,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.dialog.DetailRow,DetailRow,1,1,1,0,0,0,1,0,2,3,
com.debanshu.xcalendar.ui.components.dialog.EventTypeSelector,EventTypeSelector,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.dialog.NotificationRow,NotificationRow,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.dialog.EventOptionRow,EventOptionRow,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.components.dialog.CalendarTimeSection,CalendarTimeSection,1,1,1,0,0,0,0,0,3,3,
com.debanshu.xcalendar.ui.components.dialog.TimeDisplayRow,TimeDisplayRow,1,1,1,0,0,0,0,0,3,2,
com.debanshu.xcalendar.ui.navigation.NavigationHost,NavigationHost,1,1,1,0,0,0,0,0,2,3,
com.debanshu.xcalendar.ui.screen.dayScreen.DayScreen,DayScreen,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.screen.monthScreen.MonthScreen,MonthScreen,1,1,1,0,0,0,0,0,1,3,
com.debanshu.xcalendar.ui.screen.monthScreen.components.DayCell,DayCell,1,1,1,0,0,0,0,0,1,4,
com.debanshu.xcalendar.ui.screen.monthScreen.components.MonthView,MonthView,1,1,1,0,0,0,0,0,1,3,
com.debanshu.xcalendar.ui.screen.monthScreen.components.WeekdayHeader,WeekdayHeader,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.screen.scheduleScreen.ScheduleScreen,ScheduleScreen,1,1,1,0,0,0,0,0,3,11,
com.debanshu.xcalendar.ui.screen.scheduleScreen.components.DayWithEvents,DayWithEvents,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.screen.scheduleScreen.components.EventItem,EventItem,1,1,1,0,0,0,0,0,1,2,
com.debanshu.xcalendar.ui.screen.scheduleScreen.components.MonthHeader,MonthHeader,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.screen.scheduleScreen.components.WeekHeader,WeekHeader,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.screen.threeDayScreen.ThreeDayScreen,ThreeDayScreen,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.screen.weekScreen.WeekScreen,WeekScreen,1,1,1,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.theme.<get-extendedColors>,<get-extendedColors>,1,0,0,1,0,0,0,0,1,0,
com.debanshu.xcalendar.ui.theme.XCalendarTheme,XCalendarTheme,1,1,1,0,0,0,1,0,2,6,
com.debanshu.xcalendar.ui.theme.XCalendarTheme.<get-dimensions>,<get-dimensions>,1,0,0,1,0,0,0,0,1,0,
com.debanshu.xcalendar.ui.theme.XCalendarTheme.<get-colorScheme>,<get-colorScheme>,1,0,0,1,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.theme.XCalendarTheme.<get-typography>,<get-typography>,1,0,0,1,0,0,0,0,1,0,
com.debanshu.xcalendar.ui.theme.XCalendarTheme.<get-shapes>,<get-shapes>,1,0,0,1,0,0,0,0,1,0,
com.debanshu.xcalendar.ui.theme.XCalendarTheme.<get-motion>,<get-motion>,1,0,0,1,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.transition.WithSharedTransitionScope,WithSharedTransitionScope,1,1,1,0,0,0,0,0,1,2,
com.debanshu.xcalendar.ui.transition.isSharedTransitionActive,isSharedTransitionActive,1,0,0,0,0,0,0,0,1,1,
com.debanshu.xcalendar.ui.utils.rememberToday,rememberToday,1,0,0,0,0,0,0,0,1,0,
